Date,BDT_USD
9/25/2023 23:58:00,108.5139
9/26/2023 23:58:00,108.5603
9/27/2023 23:58:00,108.6803
9/28/2023 23:58:00,108.561
9/29/2023 23:58:00,108.673
9/30/2023 23:58:00,108.7895
10/1/2023 23:58:00,108.7895
10/2/2023 23:58:00,108.6048
10/3/2023 23:58:00,108.583
10/4/2023 23:58:00,108.4284
10/5/2023 23:58:00,108.2355
10/6/2023 23:58:00,108.0594
10/7/2023 23:58:00,108.0594
10/8/2023 23:58:00,108.0594
10/9/2023 23:58:00,108.5139
10/10/2023 23:58:00,108.6095
10/11/2023 23:58:00,108.5698
10/12/2023 23:58:00,108.5589
10/13/2023 23:58:00,108.5393
10/14/2023 23:58:00,108.5842
10/16/2023 23:58:00,108.5712
10/17/2023 23:58:00,108.402
10/18/2023 23:58:00,108.5506
10/19/2023 23:58:00,108.5094
10/20/2023 23:58:00,108.5403
10/21/2023 23:58:00,108.3597
10/23/2023 23:58:00,108.5162
10/24/2023 23:58:00,108.5708
10/25/2023 23:58:00,108.5585
10/26/2023 23:58:00,108.5596
10/27/2023 23:58:00,108.6432
10/28/2023 23:58:00,108.3038
10/29/2023 23:58:00,108.3038
10/30/2023 23:58:00,108.4737
10/31/2023 23:58:00,108.5377
11/1/2023 23:58:00,108.493
11/2/2023 23:58:00,108.87
11/3/2023 23:58:00,108.1695
11/4/2023 23:58:00,108.1695
11/6/2023 23:58:00,108.5979
11/7/2023 23:58:00,108.477
11/8/2023 23:58:00,109.1332
11/9/2023 23:58:00,108.5602
11/10/2023 23:58:00,108.5345
11/11/2023 23:58:00,108.1704
11/12/2023 23:58:00,108.1704
11/13/2023 23:58:00,109.1539
11/14/2023 23:58:00,109.025
11/15/2023 23:58:00,109.1674
11/16/2023 23:58:00,109.161
11/17/2023 23:58:00,109.1247
11/18/2023 23:58:00,108.5581
11/19/2023 23:58:00,108.5581
11/20/2023 23:58:00,109.0656
11/21/2023 23:58:00,109.0482
11/22/2023 23:58:00,109.0331
11/23/2023 23:58:00,108.6745
11/24/2023 23:58:00,108.529
11/25/2023 23:58:00,108.2416
11/27/2023 23:58:00,108.6241
11/28/2023 23:58:00,108.5269
11/29/2023 23:58:00,108.5811
11/30/2023 23:58:00,108.614
12/1/2023 23:58:00,108.6281
12/2/2023 23:58:00,108.6236
12/3/2023 23:58:00,108.6675
12/4/2023 23:58:00,108.4027
12/5/2023 23:58:00,108.3312
12/6/2023 23:58:00,108.3855
12/7/2023 23:58:00,108.4105
12/8/2023 23:58:00,108.346
12/9/2023 23:58:00,108.4234
12/10/2023 23:58:00,108.5116
12/11/2023 23:58:00,108.4249
12/12/2023 23:58:00,108.3354
12/13/2023 23:58:00,108.3422
12/14/2023 23:58:00,108.3205
12/15/2023 23:58:00,108.4497
12/16/2023 23:58:00,108.9417
12/18/2023 23:58:00,108.0905
12/19/2023 23:58:00,108.0182
12/20/2023 23:58:00,108.1051
12/21/2023 23:58:00,108.0872
12/22/2023 23:58:00,108.2345
12/23/2023 23:58:00,108.1025
12/24/2023 23:58:00,108.2379
12/25/2023 23:58:00,108.3107
12/27/2023 23:58:00,108.0956
12/28/2023 23:58:00,108.6817
12/29/2023 23:58:00,108.1286
12/30/2023 23:58:00,108.3262
